0.3um,co2,date,time,weather_idx
739,424,2026-01-13,3.626388888888889,105
643,424,2026-01-13,3.629166666666667,105
738,424,2026-01-13,3.6319444444444446,105
774,424,2026-01-13,3.6347222222222224,105
789,424,2026-01-13,3.6375,105
799,424,2026-01-13,3.640277777777778,105
841,424,2026-01-13,3.6430555555555557,105
900,424,2026-01-13,3.6458333333333335,105
888,424,2026-01-13,3.6486111111111112,105
885,424,2026-01-13,3.651388888888889,105
886,424,2026-01-13,3.654166666666667,105
886,424,2026-01-13,3.6569444444444446,105
804,424,2026-01-13,3.6597222222222223,105
701,424,2026-01-13,3.6625,105
738,424,2026-01-13,3.665277777777778,105
795,424,2026-01-13,3.6680555555555556,105
1047,424,2026-01-13,3.6708333333333334,105
734,424,2026-01-13,3.673611111111111,105
814,424,2026-01-13,3.676388888888889,105
781,424,2026-01-13,3.6791666666666667,105
664,424,2026-01-13,3.6819444444444445,105
689,424,2026-01-13,3.6847222222222227,105
834,424,2026-01-13,3.6875000000000004,105
963,424,2026-01-13,3.690277777777778,105
977,424,2026-01-13,3.693055555555556,105
816,424,2026-01-13,3.6958333333333337,105
744,424,2026-01-13,3.6986111111111115,105
773,424,2026-01-13,3.7013888888888893,105
879,423,2026-01-13,3.704166666666667,105
932,423,2026-01-13,3.706944444444445,105
908,423,2026-01-13,3.7097222222222226,105
897,423,2026-01-13,3.7125000000000004,105
748,423,2026-01-13,3.715277777777778,105
729,423,2026-01-13,3.718055555555556,105
977,423,2026-01-13,3.7208333333333337,105
976,423,2026-01-13,3.7236111111111114,105
829,423,2026-01-13,3.726388888888889,105
825,423,2026-01-13,3.729166666666667,105
761,423,2026-01-13,3.7319444444444447,105
750,423,2026-01-13,3.7347222222222225,105
696,423,2026-01-13,3.7375000000000003,105
747,423,2026-01-13,3.740277777777778,105
839,423,2026-01-13,3.743055555555556,105
762,423,2026-01-13,3.7458333333333336,105
728,423,2026-01-13,3.7486111111111113,105
768,423,2026-01-13,3.751388888888889,105
774,423,2026-01-13,3.754166666666667,105
705,423,2026-01-13,3.7569444444444446,105
732,423,2026-01-13,3.7597222222222224,105
808,423,2026-01-13,3.7625,105
771,423,2026-01-13,3.765277777777778,105
682,423,2026-01-13,3.7680555555555557,105
675,423,2026-01-13,3.7708333333333335,105
771,423,2026-01-13,3.7736111111111112,105
792,423,2026-01-13,3.776388888888889,105
845,423,2026-01-13,3.779166666666667,105
812,423,2026-01-13,3.7819444444444446,105
806,423,2026-01-13,3.7847222222222223,105
867,423,2026-01-13,3.7875,105
819,423,2026-01-13,3.790277777777778,105
741,423,2026-01-13,3.7930555555555556,105
702,423,2026-01-13,3.7958333333333334,105
820,423,2026-01-13,3.798611111111111,105
873,423,2026-01-13,3.801388888888889,105
862,423,2026-01-13,3.8041666666666667,105
813,423,2026-01-13,3.8069444444444445,105
866,423,2026-01-13,3.8097222222222222,105
